entry_time,symbol,action,entry_price,stop_loss,take_profit,rsi,atr,dist_ema200,spread,hour,day_of_week,mins_to_news,label,close_price,close_time,pnl
2025-12-13T08:07:42.576755+00:00,XAUUSD,SELL,2297.350771704211,2297.9850385536934,2296.399371429988,55.76935303705368,0.3171334247410219,-1.0337400823977987,16.0,8,5,11197.709612584114,1,2297.9850385536934,2025-12-13 08:12:42.576755+00:00,-63.42668494821737
2025-12-13T15:27:42.576755+00:00,XAUUSD,SELL,2296.29474693181,2298.7648143217502,2292.5896458468997,53.646149020470766,1.2350336949701028,-1.270962798319033,15.0,15,5,11637.709612584114,1,2298.7648143217502,2025-12-13 15:57:42.576755+00:00,-247.00673899401409
2025-12-14T01:47:42.576755+00:00,XAUUSD,BUY,2287.184001612373,2286.785714703728,2287.78143197534,43.28660637649321,0.19914345432240615,-5.403362987106448,20.0,1,6,12257.709612584114,0,2287.78143197534,2025-12-14 03:07:42.576755+00:00,59.74303629673159
2025-12-14T06:02:42.576755+00:00,XAUUSD,BUY,2287.2424476074793,2286.8441073991044,2287.839957920042,36.3769462089294,0.19917010418752007,-3.294699829422825,14.0,6,6,12512.709612584114,0,2287.839957920042,2025-12-14 06:32:42.576755+00:00,59.75103125624628
2025-12-14T08:57:42.576755+00:00,XAUUSD,SELL,2287.9085464204977,2289.0446744847286,2286.204354324151,58.181989260764624,0.5680640321154767,-1.7923541450572884,16.0,8,6,12687.709612584114,0,2286.204354324151,2025-12-14 09:32:42.576755+00:00,170.419209634656
2025-12-14T11:42:42.576755+00:00,XAUUSD,BUY,2285.725335856681,2284.600010150246,2287.4133244163336,42.79808812513979,0.5626628532175866,-2.9210253102787647,14.0,11,6,12852.709612584114,1,2284.600010150246,2025-12-14 13:02:42.576755+00:00,-112.53257064349782
2025-12-14T13:12:42.576755+00:00,XAUUSD,BUY,2285.5801213416025,2284.0622783654317,2287.856885805859,44.732458105117395,0.7589214880854017,-2.5465716854014318,20.0,13,6,12942.709612584114,1,2284.0622783654317,2025-12-14 13:17:42.576755+00:00,-151.78429761708685
2025-12-14T19:37:42.576755+00:00,XAUUSD,BUY,2289.046330228557,2286.400170780621,2293.0155694004616,43.56353109274288,1.323079723968119,0.21053313102083848,13.0,19,6,13327.709612584114,1,2286.400170780621,2025-12-14 20:37:42.576755+00:00,-264.6159447936043
2025-12-14T22:37:42.576755+00:00,XAUUSD,SELL,2285.3475243751195,2285.6384914419373,2284.911073774893,58.63017532485907,0.14548353340887843,-2.6313111810186456,56.0,22,6,13507.709612584114,1,2285.6384914419373,2025-12-14 23:42:42.576755+00:00,-29.096706681775686
2025-12-15T05:42:42.576755+00:00,XAUUSD,BUY,2285.6591399654158,2285.2072578497937,2286.3369631388487,39.03235189567766,0.22594105781100943,-0.983681869386146,16.0,5,0,13932.709612584114,1,2285.2072578497937,2025-12-15 06:57:42.576755+00:00,-45.18821156220838
2025-12-15T21:57:42.576755+00:00,XAUUSD,BUY,2289.5758672519587,2288.95263431376,2290.510716659257,28.191244163250317,0.31161646909942775,4.326184542899682,76.0,21,0,14907.709612584114,1,2288.95263431376,2025-12-15 22:52:42.576755+00:00,-62.32329381987256
2025-12-15T23:12:42.576755+00:00,XAUUSD,BUY,2289.187068596002,2288.8416699550808,2289.705166557384,30.815706703015223,0.17269932046071648,3.391917536355777,20.0,23,0,14982.709612584114,1,2288.8416699550808,2025-12-16 00:52:42.576755+00:00,-34.5398640921303
2025-12-16T02:32:42.576755+00:00,XAUUSD,SELL,2288.698757059095,2289.212408589446,2287.9282797635688,53.01035098357109,0.25682576517546557,1.8837325605513797,21.0,2,1,15182.709612584114,1,2289.212408589446,2025-12-16 03:52:42.576755+00:00,-51.3651530351126
2025-12-16T07:17:42.576755+00:00,XAUUSD,BUY,2289.4474547817335,2288.983069336173,2290.144032950075,45.46246983227336,0.23219272278048006,1.54535431097338,15.0,7,1,15467.709612584114,1,2288.983069336173,2025-12-16 08:02:42.576755+00:00,-46.43854455607652
2025-12-17T01:02:42.576755+00:00,XAUUSD,BUY,2275.8702597841448,2275.486025238412,2276.446611602744,49.835629216269226,0.19211727286639352,-5.333912381635855,17.0,1,2,16532.709612584113,0,2276.446611602744,2025-12-17 03:07:42.576755+00:00,57.63518185990506
2025-12-17T09:02:42.576755+00:00,XAUUSD,SELL,2278.588405529622,2279.6735506879627,2276.960687792111,55.65059853619492,0.5425725791702851,-0.5429637612955958,16.0,9,2,17012.709612584113,1,2279.6735506879627,2025-12-17 09:12:42.576755+00:00,-108.51451583407652
2025-12-17T10:32:42.576755+00:00,XAUUSD,BUY,2278.9155185606164,2277.862517655228,2280.4950199186987,42.799340230291,0.5265004526941084,-0.17336051308302558,14.0,10,2,17102.709612584113,0,2280.4950199186987,2025-12-17 11:12:42.576755+00:00,157.95013580823252
2025-12-17T11:42:42.576755+00:00,XAUUSD,SELL,2278.911057790952,2280.137602534592,2277.071240675491,49.939639133593765,0.613272371820228,-0.2537524241938627,12.0,11,2,17172.709612584113,0,2277.071240675491,2025-12-17 13:22:42.576755+00:00,183.98171154608463
2025-12-17T13:37:42.576755+00:00,XAUUSD,BUY,2278.238236560905,2276.323788191178,2281.109909115495,48.43190930314407,0.9572241848634023,-0.7511226551587242,13.0,13,2,17287.709612584113,0,2281.109909115495,2025-12-17 15:52:42.576755+00:00,287.1672554590077
2025-12-17T16:57:42.576755+00:00,XAUUSD,SELL,2280.976627849959,2283.448052233365,2277.2694912748498,60.428480450128326,1.2357121917030847,1.6861783444924185,21.0,16,2,17487.709612584113,1,2283.448052233365,2025-12-17 19:32:42.576755+00:00,-247.14243834059744
2025-12-17T22:07:42.576755+00:00,XAUUSD,SELL,2282.076709646616,2282.3780107487887,2281.624757993357,62.01259493638521,0.15065055108633324,1.7282379598532316,82.0,22,2,17797.709612584113,1,2282.3780107487887,2025-12-17 22:37:42.576755+00:00,-30.130110217260153
2025-12-18T01:37:42.576755+00:00,XAUUSD,SELL,2282.964245461016,2283.547994159903,2282.088622412686,49.144711466437286,0.2918743494433329,1.7831447806161123,12.0,1,3,18007.709612584113,1,2283.547994159903,2025-12-18 01:57:42.576755+00:00,-58.37486988866658
2025-12-18T05:57:42.576755+00:00,XAUUSD,BUY,2283.4778236627153,2283.051935945863,2284.1166552379937,36.94650594577654,0.2129438584260502,1.375383120296192,17.0,5,3,18267.709612584113,1,2283.051935945863,2025-12-18 06:27:42.576755+00:00,-42.58877168522304
2025-12-18T13:02:42.576755+00:00,XAUUSD,BUY,2282.4382485359315,2281.2461578152547,2284.2263846169467,38.77719490776258,0.596045360338329,-0.08830219724950439,20.0,13,3,18692.709612584113,1,2281.2461578152547,2025-12-18 13:12:42.576755+00:00,-119.20907206767879
2025-12-18T15:52:42.576755+00:00,XAUUSD,SELL,2280.3977469409037,2282.629940999544,2277.049455852943,53.928937689132006,1.1160970293202095,-1.5647169879839566,15.0,15,3,18862.709612584113,1,2282.629940999544,2025-12-18 16:47:42.576755+00:00,-223.2194058640289
2025-12-18T19:17:42.576755+00:00,XAUUSD,SELL,2285.410539245171,2287.509987102243,2282.261367459563,51.48961210352778,1.0497239285359683,2.5696922989095583,22.0,19,3,19067.709612584113,0,2282.261367459563,2025-12-18 20:17:42.576755+00:00,314.9171785607905
2025-12-19T00:02:42.576755+00:00,XAUUSD,BUY,2281.6899074178737,2281.4585482387847,2282.036946186507,56.185336086357005,0.1156795895445027,-0.8574560893343914,15.0,0,4,19352.709612584113,1,2281.4585482387847,2025-12-19 00:47:42.576755+00:00,-23.135917908894044
2025-12-19T05:57:42.576755+00:00,XAUUSD,BUY,2280.6540515443526,2280.2129648357436,2281.3156816072665,47.28022850367128,0.22054335430457936,-1.2206421570708699,20.0,5,4,19707.709612584113,0,2281.3156816072665,2025-12-19 07:07:42.576755+00:00,66.16300629139005
2025-12-19T08:07:42.576755+00:00,XAUUSD,SELL,2280.8586512598445,2281.5567533297462,2279.8114981549916,44.56039654952523,0.349051034950922,-0.882724970509571,20.0,8,4,19837.709612584113,0,2279.8114981549916,2025-12-19 08:42:42.576755+00:00,104.71531048528959
2025-12-19T08:52:42.576755+00:00,XAUUSD,BUY,2281.0697346036327,2280.0690804352994,2282.5707158561327,38.83061040822105,0.5003270841665913,-0.5762514148868831,16.0,8,4,19882.709612584113,0,2282.5707158561327,2025-12-19 09:52:42.576755+00:00,150.09812524999688
2025-12-19T17:07:42.576755+00:00,XAUUSD,SELL,2278.1015773798413,2280.4378754861523,2274.5971302203748,50.684015587873596,1.1681490531554377,-3.175429577470368,12.0,17,4,19942.290387415887,1,2280.4378754861523,2025-12-19 17:37:42.576755+00:00,-233.62981063110055
2025-12-19T18:37:42.576755+00:00,XAUUSD,SELL,2280.2535684850704,2282.174725187299,2277.3718334317277,55.21676213445532,0.9605783511142038,-0.8652366502738005,17.0,18,4,19852.290387415887,0,2277.3718334317277,2025-12-19 20:07:42.576755+00:00,288.1735053342709
2025-12-20T03:37:42.576755+00:00,XAUUSD,SELL,2280.510328370661,2280.963123213232,2279.8311361068045,52.789363560609075,0.22639742128548537,0.11935016907273166,22.0,3,5,19312.290387415887,0,2279.8311361068045,2025-12-20 04:27:42.576755+00:00,67.91922638562937
2025-12-20T13:22:42.576755+00:00,XAUUSD,BUY,2281.9863924500455,2280.6171962950884,2284.040186682481,40.62941018633325,0.6845980774784428,1.2727142506851123,12.0,13,5,18727.290387415887,1,2280.6171962950884,2025-12-20 13:32:42.576755+00:00,-136.91961549570806
2025-12-20T22:37:42.576755+00:00,XAUUSD,BUY,2275.2092472281224,2274.913071336072,2275.6535110661985,25.697835417367344,0.14808794602536832,-2.3966182632580058,78.0,22,5,18172.290387415887,1,2274.913071336072,2025-12-20 22:52:42.576755+00:00,-29.617589205054173
2025-12-20T23:22:42.576755+00:00,XAUUSD,BUY,2275.0392304692728,2274.741335750237,2275.486072547826,36.95035244834051,0.14894735951783591,-2.3353246416813818,13.0,23,5,18127.290387415887,0,2275.486072547826,2025-12-21 00:17:42.576755+00:00,44.684207855334535
2025-12-21T01:12:42.576755+00:00,XAUUSD,SELL,2275.5754772583264,2276.0739513092144,2274.8277661819943,60.592725996060985,0.24923702544395251,-1.4433075034039575,15.0,1,6,18017.290387415887,1,2276.0739513092144,2025-12-21 01:57:42.576755+00:00,-49.8474050888035
2025-12-21T11:07:42.576755+00:00,XAUUSD,SELL,2275.061769079002,2276.003181820755,2273.649649966372,57.46266581132162,0.4707063708764768,-0.9568250697725489,22.0,11,6,17422.290387415887,1,2276.003181820755,2025-12-21 11:37:42.576755+00:00,-94.14127417530835
2025-12-21T12:22:42.576755+00:00,XAUUSD,SELL,2275.669592609074,2276.7402485428174,2274.0636087084586,62.2858091752467,0.5353279668718187,-0.36266474017065775,22.0,12,6,17347.290387415887,1,2276.7402485428174,2025-12-21 12:42:42.576755+00:00,-107.06559337436374
2025-12-21T16:47:42.576755+00:00,XAUUSD,BUY,2279.229308292005,2277.16111501313,2282.3315982103177,43.71024085860859,1.034096639437621,2.5597370320679147,16.0,16,6,17082.290387415887,0,2282.3315982103177,2025-12-21 18:27:42.576755+00:00,310.22899183126356
2025-12-21T20:47:42.576755+00:00,XAUUSD,BUY,2281.5290879386216,2279.2793148145274,2284.9037476247627,44.55925290750441,1.1248865620470627,3.18783430244639,12.0,20,6,16842.290387415887,0,2284.9037476247627,2025-12-22 10:32:42.576755+00:00,337.4659686141058
2025-12-22T19:02:42.576755+00:00,XAUUSD,SELL,2288.3928677589684,2291.193055623779,2284.1925859617522,58.03537908586656,1.4000939324053954,4.310843431643207,15.0,19,0,15507.290387415886,1,2291.193055623779,2025-12-22 20:27:42.576755+00:00,-280.0187864810596
2025-12-22T22:07:42.576755+00:00,XAUUSD,BUY,2291.5240740812146,2291.198207311797,2292.0128742353413,30.894515979181435,0.16293338470888688,5.45884418303649,83.0,22,0,15322.290387415886,0,2292.0128742353413,2025-12-22 22:32:42.576755+00:00,48.88001541266931
2025-12-23T03:42:42.576755+00:00,XAUUSD,SELL,2292.990371557273,2293.5395257340415,2292.166640292121,60.142234034641646,0.27457708838411626,3.8165959413518067,15.0,3,1,14987.290387415886,1,2293.5395257340415,2025-12-23 04:42:42.576755+00:00,-54.91541767682975
2025-12-23T08:07:42.576755+00:00,XAUUSD,BUY,2294.5022341194217,2294.0176087697187,2295.229172143976,44.34907355468598,0.24231267485148628,3.299087493535353,20.0,8,1,14722.290387415886,1,2294.0176087697187,2025-12-23 08:17:42.576755+00:00,-48.46253497030375
